Fiscal Year,Requirement Description,Office Symbol,N=New R= Recompete,NAICS Code,Extent of Competition,Estimated Value,Incumbent Contractor,Length of Performance,Target Award Fiscal Year Quarter,Place of Performance if Outside US,Point of Contact Name,Point of Contact Email Address,Item Type,Path
FY 15,Evaluation contracts,GP,N,541618 - Other Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amanda Cauldwell or Karen Chen,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Evaluation contracts,GP,N,541618 - Other Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amanda Cauldwell or Doreen Mullady,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Evaluation contracts,GP,N,541618 - Other Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amanda Cauldwell or Karen Chen,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Transportation Services BPA,A/OPR/GSM/OSB,R,(Pick One),TBD,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Christopher Hartranft,HartranftCR2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Leasing of Executive Fleet Tahoes and Impalas,A/OPR/GSM/OSB,R,(Pick One),TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Christopher Hartranft,HartranftCR2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT and Communication Support,A/OEM,R,541519 - Other Computer Related Services,Sole Source,>$5M and <$10M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Celenne Cook,CookCG@State.Gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,ArcGIS software renewal,A/OEM,R,541519 - Other Computer Related Services,TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Celenne Cook,CookCG@State.Gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Allowance information including mobile,A/OPR/ALS,R,(Pick One),TBD,>$500K and <$1M,Geneva,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Rama Sahar,sahar2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Doclisting Support,A/GIS/IPS/AAS,R,541611 - Administrative Management and General Management Consulting Services,8(a) Competitive,>$500K and <$1M,eScience and Technology Solutions,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Danielle Thompson,thompsondg@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Support Services,A/GIS/IPS/AAS,R,541519 - Other Computer Related Services,TBD,>$5M and <$10M,Geneva,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Danielle Thompson,thompsondg@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Administrative Services,A/GIS/IPS,R,519190 - All Other Information Services,Set Aside,>$1M and <$5M,Prime Source Tech. Inc.,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Nicole Short,shortna@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,FOIA Case Processing,A/GIS/IPS,R,519190 - All Other Information Services,Competitive - Full and Open,>$5M and <$10M,Fci Federal,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Nicole Short,ShortNA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Security Contract Vendor,A/GIS/IPS,R,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$500K and <$1M,Henderson Group,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Nicole Short,ShortNA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Copier Program Contract (Existing Copiers),A/GIS/GPS,R,(Pick One),TBD,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep);#Quarter 2 (Jan-Mar),Multiple,Pamela Holton,HoltonPG@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Elevator Maint at HST, BH, ICC, BIMC, NFATC, SA1",A/OPR/FMS,R,238290 - Other Building Equipment Contractors,TBD,>$5M and <$10M,Quality Elevator,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Joe Brookman,BrookmanJO2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Commercial Facility Management Service at CRC,A/OPR/FMS,R,561210 - Facilities Support Services,TBD,>$10M and <$20M,Kcorp Support Services,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Sam Hudgins,HudginsSL@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Commercial Facility Management Service at SA-32,A/OPR/FMS,R,561210 - Facilities Support Services,TBD,>$5M and <$10M,Creative Management Technology,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Barbara Martin,MartinBH3@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Custodial Service at BIMC, ICC, SA1, and DOS Annexes",A/OPR/FMS,R,561720 - Janitorial Services,8(a) Competitive,>$5M and <$10M,Action Facilities Management,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Steve Wabnitz,WabnitzSG@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Commercial Facility Management Service at PCC,A/OPR/FMS,R,561210 - Facilities Support Services,8(a) Competitive,>$5M and <$10M,Crocketff Facilities Services,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Stan Boduch,BoduchSJ@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,O&M Service to Supplemental Equip. at SA-5,A/OPR/FMS,R,561210 - Facilities Support Services,Set Aside,>$150K and <$500K,Donahoe,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Christina Brooks,BrooksCL@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,O&M Service to Supplemental Equip. at SA-4,A/OPR/FMS,R,561210 - Facilities Support Services,8(a) Sole Source,>$500K and <$1M,Crockett Facilities Services,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Steve Wabnitz,Steve Wabnitz,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Service to Support Operation of Facilities,A/OPR/FMS,R,561210 - Facilities Support Services,TBD,>$150K and <$500K,McManis and Monsalve,Base + 2 Option Periods (3yrs),Quarter 4 (Jul-Sep),N/A,Jean Baer,BaerJB@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Commercial Facility Management Services at Walter Reed,A/OPR/FMS,N,561210 - Facilities Support Services,8(a) Sole Source,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 1 (Oct-Dec),N/A,Randy Daugherty,DaughertyRM@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Commingled Trash and Recycling,A/OPR/FMS,N,562111 - Solid Waste Collection,8(a) Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A,Randy Daugherty,DaughertyRM@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Commercial Facility Management Services at FASTC,A/OPR/FMS,N,561210 - Facilities Support Services,TBD,(Pick One),N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A,Robert Keady,KeadyR@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,NYFO Communications System Upgrade,IRM/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,WARN K Core Upgrade,IRM/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,BOM and Ancillary Installation Hardware for Communications System Installations,IRM/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,High Frequency Radio Contract,IRM/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Domestic and Overseas O&M Radio Equipment,IRM/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,More than 12 Months with varying option periods.,Quarter 1 (Oct-Dec),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Repeater Contract,IRM/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Stacie M. noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Satellite equipment (Ranger 1200 x-Band, iDirect modem, spares)",IRM/OPS/ITI/LWS/DSB - REACH,N,517410 - Satellite Telecommunications,Competitive - Full and Open,>$150K and <$500K,Airbus Defense & Space,Less than 12 Months,Quarter 3 (Apr-Jun),N/A,Rick Marafino,marfinora@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Stars II,IRM/OPS/ITI/LWS/DSB,R,541618 - Other Management Consulting Services,Competitive - Full and Open,>$1M and <$5M,Mount Airey Group,More than 12 Months with varying option periods.,Quarter 1 (Oct-Dec),N/A,Raemona Willis-MiddleBrooks,willis-middlebrookesR@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Enterprise Converged,IRM/OPS/ITI/GITM,N,(Pick One),Competitive - Full and Open,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Larry Roberts,robertsld@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Equipment - Printers,IRM/OPS/ITI/GITM,N,(Pick One),Set Aside,>$20M and <$50M,multiple,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Barbara Kuehn,kuehnbc@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Equipment - Core,IRM/OPS/ITI/GITM,N,(Pick One),Set Aside,>$150K and <$500K,multiple,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Barbara Kuehn,kuehnbc@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Equipment - Type C,IRM/OPS/ITI/GITM,N,(Pick One),Sole Source,>$1M and <$5M,multiple,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Barbara Kuehn,kuehnbc@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,SafeNet Hardware Annual Maintenance,IRM/OPS/ITI/SI,R,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 1 Option Period (2yrs),Quarter 2 (Jan-Mar),N/A,Robert Hankinson,hankinsonra@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Entrust Annual Hardware and Software Maintenance,IRM/OPS/ITI/SI,R,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$500K and <$1M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Robert Hankinson,Hankinsonra@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Laptop Encryption Software,IRM/OPS/ITI/SI,R,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$150K and <$500K,SafeNet,Base Option Period (1yr),Quarter 3 (Apr-Jun),N/A,Robert Hankinson,Hankinsonra@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,ScanMail for Microsoft Exchange,IRM/OPS/ITI/SI,R,511210 - Software Publishers,Competitive - Full and Open,>$150K and <$500K,GovTech Solutions,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Valerie Miller,millerVE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,NSA IDIQ contract for procurement of In-Line Network Encryption devices,IRM/OPS/ITI/SI,N,928110 - National Security,TBD,>$1M and <$5M,General Dynamics,Base Option Period (1yr),Quarter 3 (Apr-Jun),N/A,Courtney T. Walker,walkerct3@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,NSA IDIQ contract for procurement of Key Management Infrastructure (KMI) Equipment ,IRM/OPS/ITI/SI,N,928110 - National Security,TBD,>$150K and <$500K,General Dynamics,Base Option Period (1yr),Quarter 3 (Apr-Jun),N/A,Courtney T. Walker,walkerct3@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Hill Airforce Base (DRSN Bill),IRM/OPS/ITI/SI,N,928110 - National Security,TBD,>$150K and <$500K,Hill Airforce Base,Base Option Period (1yr),Quarter 1 (Oct-Dec),N/A,Wade DeWalt,dewaltwa@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Refresh Servers,IRM/OPS/ITI/SI,N,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,TBD,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Robert Hankinson,hankinsonra@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Smart Cards,IRM/OPS/ITI/SI,N,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Competitive - Full and Open,>$150K and <$500K,SafeNet,Base Option Period (1yr),Quarter 3 (Apr-Jun),N/A,Robert Hankinson,Hankinsonra@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,90Meter Maintenance,IRM/OPS/ITI/SI,N,511210 - Software Publishers,Competitive - Full and Open,>$150K and <$500K,90 Meter,Base Option Period (1yr),Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar),N/A,Robert Hankinson,hankinsonra@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,NSA - Secure Mobil Phone Equipment,IRM/OPS/ITI/SI,N,928110 - National Security,TBD,>$500K and <$1M,NSA,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Martin Milner,milnermh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Cisco IP and Tempest Phones,IRM/OPS/ITI/SI,N,928110 - National Security,TBD,>$150K and <$500K,CIS,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Wade DeWalt,dewaltwa@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Video Infrastructure Annual Maintenance,IRM/OPS/ITI/SI,R,334310 - Audio and Video Equipment Manufacturing,TBD,>$500K and <$1M,Bridges System Integration LLC,Base Option Period (1yr),Quarter 3 (Apr-Jun),N/A,Mark Zerwas,Zerwasma@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,NYFO Communications System Upgrade,IRM/OPS/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,WARN K Core Upgrade,IRM/OPS/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,BOM and Ancillary Installation Hardware for Communications System Installations,IRM/OPS/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 1 (Oct-Dec),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,High Frequency Radio Contract,IRM/OPS/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Domestic and Overseas O&M Radio Equipment,IRM/OPS/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 1 (Oct-Dec),N/A,Stacie M. Noble,noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Satellite equipment (Ranger 1200 x-Band, iDirect modem, spares)",IRM/OPS/ITI/LWS/DSB - REACH,N,517410 - Satellite Telecommunications,Competitive - Full and Open,(Pick One),Airbus Defense & Space,Less than 12 Months,Quarter 3 (Apr-Jun),N/A,Rick Marafino,marfinora@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Repeater Contract,IRM/OPS/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,(Pick One),N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Stacie M. Noble,Noblesm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Stars II,IRM/OPS/ITI/LWS/DSB,R,541618 - Other Management Consulting Services,Competitive - Full and Open,(Pick One),Mount Airey Group,More than 12 Months with varying option periods.,Quarter 1 (Oct-Dec),N/A,Raemona Willis-MiddleBrooks,Willis-MiddlebrookesR@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,State Radio Repeater Contract,IRM/OPS/ITI/LWS/RPB,N,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Competitive - Full and Open,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Stacie M. Noble,NobleSM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Project Management Support,M/OBO/PDCS/PDC,N,541690 - Other Scientific and Technical Consulting Services,TBD,>$150K and <$500K,Jacobs Engineering,Less than 12 Months,Quarter 1 (Oct-Dec),N/A,Charles Witt,WittCA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Alexandria Interim Fitout of GC office - Construction/Fit-Out award,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$20M and <$50M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Egypt,Jason Aldebs,AldebsGH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Amman CAA,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Sole Source,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Jordan,Ejaz Rahman,RahmanE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Asmara CSU - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$1M and <$5M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Tom Eckert,EckertTR@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Asuncion NEC - Construction,M/OBO/PDCS/PDC,N,236210 - Industrial Building Construction,TBD,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Paraguay,Gary Klacik ,KlacikGJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Asuncion NEC - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$10M and <$20M,Zimmer Gunsul Frasca,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Gary Klacik,KlacikGJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Athens Phase 1 LFO for Swing - Construction/Fit-out Award ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$5M and <$10M,RPSO Award,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Greece,Peter Gulbranson,GulbransonPJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Bamako MSG,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$10M and <$20M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Mali,Douglas Noumbissi,NoumbissiDW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Bangkok ACS - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,(Pick One),Richard + Bauer,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amy Averill,AverillAL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Bangkok NOX - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$20M and <$50M,Richard + Bauer,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amy Averill,AverillAL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Beijing Bldg C CA - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,(Pick One),Huashi,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),China,Ezel Silver,SilverE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Belmopan - D/B Contract,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Belize,Don Harris,HarrisDE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Belo Horizonte CA - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Set Aside,(Pick One),N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Brazil,Kevin Morris,MorrisK2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Berlin Chancery Bollard,M/OBO/PDCS/PDC,N,"238190 - Other Foundation, Structure, and Building Exterior Contractors",TBD,>$5M and <$10M,RPSO Award,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Germany,Alex Oporto,OportoAA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Berlin Clay MSGQ & CSU,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$50M and <$100M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Germany,Alex Oporto,OportoAA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Bern CSU - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Eddie Schaeffer,SchaefferEC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Bogota CA - design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Mark Lescher,LescherMW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Brasilia - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Elizabeth Mierzwa,MierzwaE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Buenos Aires - A/E services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Elizabeth Mierzwa,MierzwaE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Casablanca MSG,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$1M and <$5M,IDIQ ,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Lisa Bolten,BoltenLM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Casablanca NCC A/E Services ,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,Miller Hull,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Lisa Bolten,BoltenLM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Chennai CA - design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,(Pick One),IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Abe Gonzalez,Gonzalez-AvilesA@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Colombo ESW,M/OBO/PDCS/PDC,N,238910 - Site Preparation Contractors,Competitive - Full and Open,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Sri Lanka,Jason Aldebs,AldebsGH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Colombo NEC - D/B Contract,M/OBO/PDCS/PDC,N,236210 - Industrial Building Construction,TBD,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Sri Lanka,Jason Aldebs,AldebsGH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Dar es Salaam USAID - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$5M and <$10M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Marcy Akel,AkelME@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
