"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
OGP-Office of Government-wide Policy,Central Office,Planning,eRulemaking Program,Washington,DC,N/A,To Be Determined,Interagency Agreement,EPA,N/A,51943,51943,51943,EPA,,MOA-IAA - Yearly,GSA funded,N/A,,FY 2016-2nd Quarter,Hada Flowers,hada.flowers@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",151 funds
CIO-Office of the Chief Information Officer,Central Office,Awarded,Wireless Contract,Washington,DC,518210,Other Than Small,Firm Fixed Price,BPA Call,Full and Open,3137112.16,8043012,,AT&T LLC,GSH0015AA0060,Option,GSA funded,TBD,,FY 2016-3rd Quarter,Jim Leverso,james.leverso@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CPO-Office of the Chief People Officer,Central Office,Planning,Coaching Facilitation and Training BPA,Various,VARIOUS LOCATIONS,,"Multiple Small Business Categories (provide all categories in Column ""Y""-Additional Information)",To Be Determined,Blanket Purchase Agreement-BPA,Set-Aside,55135500,60000000,,N/A,Coaching Facilitation Training - BPA,New Requirement,GSA funded-Other,2015-10-31,N/A,FY 2016-1st Quarter,John Cooper,john.cooper@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov","The Socio-Economic cateogry are as follows: Small Business, Service Disabled Veteran, HubZone. The contract type will be determined at the task order level. The competition strategy is Small business, Hubzone and Service Disabled Veteran set aside."
CPO-Office of the Chief People Officer,Central Office,Planning,Corporate Leadership Council Subscription,virtual,VARIOUS LOCATIONS,,Other Than Small,Firm Fixed Price,GSA Schedule Contract,Sole Source,0,80000,,CEB,GS-00-H-15-AA-C-0052,Option,GSA funded-Other,2015-02-01,,FY 2016-2nd Quarter,John Cooper,john.cooper@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",Renewal of subscription
CPO-Office of the Chief People Officer,Central Office,Planning,Federal Human Capital Collaborative Subscription,virtual,VARIOUS LOCATIONS,,Other Than Small,Firm Fixed Price,GSA Schedule Contract,Sole Source,0,50000,,Partnership for Public Service,GS-00-H-15-AA-C-0005,Option,GSA funded-Other,2015-10-15,,FY 2016-1st Quarter,John Cooper,john.cooper@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",Renewal of subscription
CPO-Office of the Chief People Officer,Central Office,Planning,License Fees for IT software,virtual,VARIOUS LOCATIONS,,To Be Determined,Firm Fixed Price,GSA Schedule Contract,Non-Competitive Delivery Order,35000,105000,,N/A,TBD,New Requirement,GSA funded-Other,2015-11-01,,FY 2016-1st Quarter,John Cooper,john.cooper@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",license fees for technology subscription/service
OCSIT-Office of Citizen Services and Innovative Technologies,Central Office,Planning,Software as a Service and other procurements (FY16 Total),Washington,DC,,To Be Determined,,,,250000,1000000,,,,To Be Determined,To Be Determined,,,FY 2016-Quarter To Be Determined,Joshua Bailes,joshua.bailes@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",This is our total software/procurement needs for FY16. The exact procurements are yet to be determined.
CFO-Chief Financial Officer,R6-The Heartland Region,Award Pending,Financial Support Services,Kansas City,MO,,To Be Determined,,,,265699,299046.57,,One Federal Solution,,Option,GSA funded,,,FY 2016-1st Quarter,Julie Pfohl,Julie.Pfohl@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Clicktools Renewal,Washington,DC,541511,Small Business,Firm Fixed Price,Purchase Order,Sole Source,17000,18000,,Clicktools,GS00H15AAP0235,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Katherine Kravchonok,katherine.kravchonok@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Clicktools Renewal,Washington,DC,541511,Small Business,Firm Fixed Price,Purchase Order,Sole Source,17000,18000,,Clicktools,,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Katherine Kravchonok,katherine.kravchonok@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Veracode,TBD,TBD,423430,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,204480,204480,,"PATRIOT TECHNOLOGIES, INC.",,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Ken Konzen,ken.konzen@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Renew Sun/Oracle Hardware maintenance,Washington,DC,811212,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Limited Sources,50000,50000,,"Dynamic Systems, Inc.",GSH0015AA0153,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Ken Konzen,Ken.konzen@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OMA-Office of Mission Assurance,Central Office,Option Exercise Pending,Employee alert and notification system,Washington,DC,,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,77500,77500,,Everbridge,GS-H-00-13-AA-0042,Option,GSA funded,,,FY 2016-2nd Quarter,LaJuan Fosset,lajuan.fossett@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Software maintenance for VPN clusters and (NAC) Network Access Control software Forescout,Various,NATIONWIDE,511210,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,100000,100000,,Advanced Computer Concepts,,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Leif Albertson,leif.albertson@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CFO-Chief Financial Officer,R10-Northwest Arctic Region,Awarded,Financial Support Services,Seattle,WA,,To Be Determined,,,,414000,465960.65,,Booz-Allen Hamilton,,Option,GSA funded,,,FY 2016-4th Quarter,Linda Bee,Linda.Bee@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Mailgate Appliance Maintenance,Washington,DC,423430,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,20000,21000,,Carahsoft,GS00H15AAP0077,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Lisa Stokes,lisa.stokes@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,"Federal Relay Communications Services for employees with Deaf, hard of hearing & speech disabilities",Washington,DC,517919,Other Than Small,Firm Fixed Price,Purchase Order,Full and Open,148000,148000,,Sprint Communications,GSH0015AA0175,New Requirement,GSA funded,N/A,,FY 2016-1st Quarter,Lynn Gillette,lynn.gillette@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OGP-Office of Government-wide Policy,Central Office,Drafting Solicitation,OGP/OCSIT Qualitative and Quanitative Analysis Support,Washington,DC,,To Be Determined,To Be Determined,Order under GSA Schedules Program BPA,,9000000,35000000,,,,New Requirement,GSA funded,,,FY 2016-2nd Quarter,Maleka Greene,Maleka. Greene@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MD-Ryan Swann
OGP-Office of Government-wide Policy,Central Office,Planning,FICAM Testing,Washington,DC,,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Set-Aside,9000000,15000000,,,,To Be Determined,GSA funded,,,FY 2016-Quarter To Be Determined,Maleka Greene,Maleka.Greene@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov","ME-James ""Jim"" Sheire"
OGP-Office of Government-wide Policy,Central Office,Planning,DOT GOV Registrar Services and Analytical Reporting,Washington,DC,,To Be Determined,Fixed Price Level of Effort,Contract,,6000000,10000000,,Verisign,,Recompete,GSA funded,,,FY 2016-Quarter To Be Determined,Maleka Greene,Maleka.Greene@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",ME-Dominic Sale
CIO-Office of the Chief Information Officer,Central Office,Planning,iDashboards Annual Maintenance,Washington,DC,511210,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Limited Sources,14000,14000,,Iviz Group Inc.,GSH0015AA0188,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Mark Kaprow,mark.kaprow@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Renew vFabric software,Washington,DC,511210,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,17000,17000,,Professional Information Systems,GSH0015AA0183,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Mark Kaprow,mark.kaprow@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Barracuda Spam and Virus firewall hardware and softwrae maintenance,Washington,DC,511210,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,7500,7500,,"Fedtek, Inc.",GSH0015AA0195,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Mark Kaprow,mark.kaprow@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,STRIP Password Manager Renewal,Washington,DC,511210,Small Business,Firm Fixed Price,Purchase Order,Sole Source,100000,115000,,Zetetic,GS00H15AAC0056,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Mark Pratt,mark.pratt@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,SafeNet HSM Lunar servers Maintenance Renewal,Washington,DC,443120,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Limited Sources,7300,7300,,Carahsoft Technology,GSH0015AA0156,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Mark Pratt,mark.pratt@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,Fujitsu Document Scanners With Maintenance Support,Multiple,VARIOUS LOCATIONS,541512,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,15000,15000,,"NETLOCITY VA, INC.",GS00H15AAP0096,Option,GSA funded,TBD,,FY 2016-4th Quarter,Mark Robinson,mark.robinson@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,BEA Weblogic Jolt & Tuxedo SW Maint.,Various,VARIOUS LOCATIONS,511210,To Be Determined,To Be Determined,To Be Determined,To Be Determined,213000,213000,,,,New Requirement,GSA funded,TBD,,FY 2016-Quarter To Be Determined,Mark Robinson,mark.robinson@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Solarwinds maintenance and support renewal,Washington,DC,541519,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,8200,8200,,DLT Solutions,GSH0015AA0068,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Michael Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Lumension Patchlink maintenance and support renewal,New York,NY,334111,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,30000,31000,,En-Net Services LLC,GSH0015AA0062,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Michael Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Spectra Logic tape libraries annual support renewal,Washington,DC,423430,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,171000,172000,,Countertrade Products Inc.,GS00H15AAP0056,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Michael Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,"Offsite tape storage and management services Enterprise Server Maintenance: Server, Storage, and Associated Support Services",Detroit,MI,541511,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,148462.31,788000,,GLOBAL SOLUTIONS GROUP INC,GSH0015AA0200,Option,GSA funded,TBD,,FY 2016-1st Quarter,Michael Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Catalogic DPX Capacity Based support and maintenance renewal,Washington,DC,334111,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,613514.1,613000,,Syncsort Inc.,GSH0015AA0088,New Requirement,GSA funded,TBD,,FY 2016-2nd Quarter,Michael Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,EMC Networker Backup maintenance and support,Washington,DC,443120,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,175000,300000,,Carahsoft,GSH0015AA5006,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Mike Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Sun server maintenance renewal,Washington,DC,443120,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,305000,325000,,"DYNAMIC SYSTEMS, INC.",GSH1415AA0068,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Mike Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,Red Hat Linux license maintenance,Washington,DC,443120,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,33542.4,134169.6,,"GOVERNMENT ACQUISITIONS, INC.",GSH0015AAS013,Option,GSA funded,TBD,,FY 2016-4th Quarter,Mike Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,Technology Business Managemment Annual Subscription,Washington,DC,511210,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,Not Available for Competition,490000,3900000,,CASK LLC,GS00H15AAC0063,Option,GSA funded,TBD,,FY 2016-4th Quarter,Mike Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Dell Server Maintenance Support,Washington,DC,334111,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Limited Sources,108000,120000,,DELL MARKETING L.P.,GSH0015AAS034,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Mike Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Red Hat Linux Enterprise Standard license support renewal,Washington,DC,423430,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,8900,31000,,CARAHSOFT TECHNOLOGY CORP.,,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Mike Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Verisign certificates plus support,Washington,DC,541519,Small Business,Firm Fixed Price,Order under IDV,Set-Aside,34000,35000,,"ADVANCED COMPUTER CONCEPTS, INC.",GSH0015AA0216,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Mike Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,Dell Privileged Account Manager (PAM),Washington,DC,541512,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,Not Available for Competition,1200000,2200000,,"IMPRES TECHNOLOGY SOLUTIONS, INC.",GSH0015AAM009,Option,GSA funded,TBD,,FY 2016-4th Quarter,Mike Bailey,michael.bailey@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,SERVE for MS Domain Controllers annual maintenance renewal,Washington,DC,541511,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,4778.48,4800,,SIRC,GSH0015AAP0083,New Requirement,GSA funded,TBD,,FY 2016-2nd Quarter,Michelle Adrews,michelle.andrews@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OCSIT-Office of Citizen Services and Innovative Technologies,Central Office,Option Exercise Pending,PMO Support - Data.gov,Washington,DC,541512,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Commercial Item Contract,Partial Small Business Set-Aside,157074.04,638945.68,,,GS-35F-0617X / GS-H-14-15-AA-0002,Option,GSA funded-Other,,,FY 2016-1st Quarter,Michelle McNellis,michelle.mcnellis@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OCSIT-Office of Citizen Services and Innovative Technologies,Central Office,Option Exercise Pending,PMO Support - FedRamp,Washington,DC,541512,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Government-wide Agency Contract-GWAC,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",499922.14,1999688.56,,,GS06F0926Z / GS-H-14-15-AA-0018,Option,GSA funded-Other,,,FY 2016-1st Quarter,Michelle McNellis,michelle.mcnellis@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,FireEye Mandiant Intelligent Response Maintenance and Support Renewal,Washington,DC,334111,To Be Determined,Firm Fixed Price,Order under IDV,Competed under SAP,50000,52000,,"ImmixTechnology, Inc",GSH0015AAS005,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Patrick Haas,patrick.haas@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,UC Monitoring Tool,Various,NATIONWIDE,541519,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract,Sole-Source,200000,225000,,"NISGA'A DATA SYSTEMS, LLC",GS00H15AAP0097,Option,GSA funded,TBD,,FY 2016-3rd Quarter,Paul Powell,paul.powell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Virtual Meeting Room Solution,Various,VARIOUS LOCATIONS,541512,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,Not Available for Competition,200000,200000,,POINT ROCK SOLUTIONS LLC,GSH1415AA0055,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Paul Powell,paul.powell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Cistera Maintenace,Washington,DC,511210,Small Business,Firm Fixed Price,Purchase Order,Sole Source,3900,3900,,Cisterea Networks,,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Paul Powell,paul.powell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CFO-Chief Financial Officer,Central Office,Planning,Internal Control over FMLOB activities transfered to USDA (MOD to existing contract),Washington,DC,,Other Than Small,Firm Fixed Price,Purchase Order,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",350000,500000,,E&Y,New Requirement for a summary of existing related internal controls - requested by external financial auditor,New Requirement,GSA funded,FY 2016-1st quarter,,FY 2016-Quarter To Be Determined,Paula.Bohnwagner,paula.bohnwagner@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OMA-Office of Mission Assurance,Central Office,Planning,HSPD-12 Credentialing support - helpdesk and program development,Washington,DC,,To Be Determined,Time and Materials,Purchase Order,Full and Open Competition,2277000,2277000,,Deloitte,,Recompete,GSA funded,FY2016 - 3rd quarter,,FY 2016-Quarter To Be Determined,Phil Ahn,phil.ahn@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OMA-Office of Mission Assurance,Central Office,Option Exercised,Nationwide Registrar Stations,Washington,DC,,Small Business,Time and Materials,Purchase Order,Set-Aside,2196000,2196000,,One Federal Solutions,,Option,GSA funded,,,FY 2016-1st Quarter,Phil Ahn,phil.ahn@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,CIS membership,Washington,DC,541511,Other Than Small,Firm Fixed Price,Purchase Order,Not Competed,10000,10000,,CIS,GS00H15AAP0087,New Requirement,GSA funded,N/A,,FY 2016-4th Quarter,Richard Krauss,richard.krauss@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,HP webinspect fortify,Reston,VA,443120,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,260308.2,260308.2,,CARAHSOFT TECHNOLOGY CORP.,GS14H15AAP0023,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Richard Krauss,richard.krauss@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Tripwire ncircle - more licenses,Washington,DC,334111,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,132822.38,132000,,"PATRIOT TECHNOLOGIES, INC.",GSH0015AA0232,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Richard Krauss,richard.krauss@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Firemon Renewal,Washington,DC,443120,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,101000,101000,,"IMMIXTECHNOLOGY, INC.",GSH1415AA0063,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Richard Krauss,richard.krauss@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Mcafee Renewal(West Coast),,AZ,443120,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,108000,109000,,"MAD SECURITY, LLC",,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Richard Krauss,richard.krauss@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,Technical Support for Digital Signatures,Washington,DC,541512,Small Business,Firm Fixed Price,Order under GSA Schedules Program BPA,Fair Opportunity,552490.65,2876257,,"VALIANT SOLUTIONS, LLC",GSH1415AA0075,Option,GSA funded,TBD,,FY 2016-4th Quarter,Richard Shaw,richard.shaw@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,Digital Signature Solution,Various,VARIOUS LOCATIONS,541512,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,130000,650000,,,,Option,GSA funded,TBD,,FY 2016-4th Quarter,Richard Shaw,richard.shaw@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Procure of SMS Text Messaging for PBS Extranet Portal Integration,Washington,DC,811212,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,18450,18450,,Advanced Telecom Services Inc.,GS-H-00-15-AA-0113,New Requirement,GSA funded,TBD,,FY 2016-2nd Quarter,Rob Yen,rob.yen@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Various GAMS Software renewals-,Washington,DC,511210,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,0,0,,,,New Requirement,GSA funded,TBD,,FY 2016-Quarter To Be Determined,Rob Yen,rob.yen@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,VMWARE ENTERPRISE LICENSE AGREEMENT,Various,NATIONWIDE,443120,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,500000,575000,,"SPECTRUM SYSTEMS, LLC",GS14H15AAP0024,Option,GSA funded,TBD,,FY 2016-4th Quarter,Rueban Garcia,rueben.garcia@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Renewal of SecureAuth Additional Calls,Irvine,CA,511210,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,36000,36000,,SecureAuth Corporation,GSH0015AA0074,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Ruth Gee,ruth.gee@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Performance Analysis software of the MYSQL databases used throughout FAS,Washington,DC,541519,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,20000,20000,,DLT Solutions,GSH0015AA0091,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Ruth Gee,ruth.gee@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Symantec Endpoint Encryption annual mainteNAnce renewal,Washington,DC,443120,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,108900,108000,,"TVAR Solutions, Inc.",GSH0015AA0150,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Ruth Gee,ruth.gee@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Password Manager PRO annual maintenance renewal,Washington,DC,511210,Other Than Small,Firm Fixed Price,Purchase Order,Competed under SAP,18175,18000,,Zoho Corporation,GS00H15AAP0070,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Ruth Gee,ruth.gee@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OAS-Office of Administrative Services,Central Office,Planning,GSA Administrative Support Services,Washington,DC,561110,Small Business,Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,Set-Aside,1500000,1600000,,Ardelle & Associates,,Recompete,GSA funded,February,,FY 2016-2nd Quarter,Sandy Wilkins,Sandy.wilkins@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OAS-Office of Administrative Services,Central Office,Planning,US Postal Mail Serivces,Washington,DC,491110,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,585000,621000,,Didlake,,Recompete,GSA funded,February,,FY 2016-2nd Quarter,Sandy Wilkins,Sandy.wilkins@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
